Fe,Mn,Ni,Co,Cr,V,Al,D1,D10,D16,D21,SFE
0.048492714,0.015519237,0.543224396,0.282199039,0.041601644,0.010390484,0.058572487,0.382771552,25.44751147,172.4288777,0.008879078,67.515626
0.112913522,0.002697177,0.68612548,0.040955763,0.077557373,0.056820954,0.022929732,0.661659921,25.60547114,189.0465583,0.009622114,94.63970199
0.693824838,0.030036667,0.130880216,0.095937894,0.02798149,0.013657233,0.007681661,-5.332038442,25.17813122,239.4712043,0.005153712,-224.2638935
0.24737736,0.015952118,0.244113741,0.220761223,0.212306795,0.037958976,0.021529787,-1.612339421,24.88790708,228.7510198,0.011562765,-32.86201639
0.520309319,0.027837701,0.135176451,0.158611283,0.130221279,0.013127992,0.014715975,-3.98170268,24.97073003,240.0810863,0.008154178,-93.25162075
0.092253993,0.016022745,0.345046883,0.312503368,0.196504812,0.02911092,0.008557278,-0.432414881,25.00329077,211.4486964,0.011497732,-16.97978455
0.15485776,0.01705369,0.610339408,0.127642221,0.045249991,0.030097926,0.014759003,-0.107820354,25.5917585,187.7142933,0.007667678,81.83223148
0.154710106,0.015237893,0.485335837,0.227474204,0.050419595,0.021136965,0.045685401,-0.478036997,25.39927952,186.355284,0.008850372,54.0141149
0.069191842,0.021852751,0.059650311,0.641933684,0.183159224,0.022760602,0.001451586,-1.57022331,24.65774836,211.6322915,0.009946181,-172.5497969
0.303680105,0.025902752,0.340058815,0.130894077,0.149316444,0.035622643,0.014525164,-1.774524153,25.14290712,222.9594041,0.010892783,19.36857551
0.052693524,0.017162377,0.503376074,0.137521252,0.251326436,0.026218519,0.011701818,0.613916298,25.11455163,214.3053767,0.013722095,34.90378712
0.061873722,0.016570123,0.658981158,0.066212987,0.152966102,0.016374254,0.027021655,0.966739093,25.45606809,194.2079245,0.01180432,91.55687041
0.340046755,0.018559403,0.43624303,0.11325525,0.02374892,0.036845925,0.031300718,-1.86046001,25.44624985,202.0657274,0.007913802,74.64164783
0.220441161,0.001317009,0.437418658,0.047598981,0.227126863,0.052231741,0.013865587,-0.603722646,25.09296564,227.3696829,0.01211794,21.46683784
0.028030413,0.01230379,0.366399224,0.438949343,0.077466018,0.04315286,0.033698352,-0.158223863,25.17108105,184.1809769,0.009656834,-7.31970744
0.357797874,0.011656179,0.066981963,0.447579398,0.08623231,0.014552433,0.015199842,-3.430104284,24.87488706,218.5351608,0.006258688,-26.89003898
