D1,D2,D4,D6,D8,D9,D10,D12,D15,D16,D18,D19,D20,D21,D24,D25,D26,D27,D31,D32,D33,D34,SFE
-0.92686659,0.357742445,1.847724567,56.86952352,736.8387162,1498.271507,25.19785156,76.88974539,223.7574846,190.457014,9.82894177,5.040944142,0.007201493,0.008988191,2.473749474,1654.500261,36572.14255,0.618347667,0.74682724,13106.68428,2970.296819,6290.251722,-11.79869057
-2.367190352,-0.609391035,1.837155748,57.05896195,742.1465127,1540.7019,24.96529302,81.02918045,185.9901456,212.3589599,12.03892784,3.551895959,0.005412797,0.007726289,1.570872558,1348.085948,23440.39739,0.573074338,0.251564775,18400.69514,3593.464302,8921.29862,-63.85173721
-0.580231007,-0.117452403,1.808117948,55.51461581,716.7274212,1584.257435,24.95913315,84.89584031,158.8673733,226.8976955,13.0232209,7.11580456,0.01120781,0.01289783,3.465771008,2387.202488,57970.07831,1.219649541,0.740112519,16672.55668,6056.233301,9725.124328,0.516495352
-0.439920625,0.475986467,1.829036272,55.73837575,723.52334,1522.089352,25.2042108,78.91779794,187.0160771,203.7977227,12.42835856,7.016817208,0.010784294,0.011881828,3.661221054,2314.818664,59212.89727,0.925132046,1.070535881,15801.23296,4842.713088,8425.749312,29.80339552
-1.506409853,0.131046896,1.831704207,56.1082888,730.2367875,1536.525262,25.30909778,79.96964527,151.1934651,215.956506,19.15525693,7.173957232,0.009318295,0.01004701,2.882743664,1765.031063,39381.92983,0.791121193,0.691690122,18513.45916,4301.17818,9326.051875,47.1624813
0.528495972,1.191523465,1.853363274,56.71503204,727.2059017,1504.169564,25.43570124,77.43901862,225.1811682,187.0656207,7.318135879,5.865615954,0.009512281,0.00996288,3.141267171,1706.971493,43404.49745,0.821117022,0.871159421,10964.61549,3567.110034,6024.323507,66.78930447
-0.727441241,0.887229627,1.845787419,56.05491612,731.4376621,1472.134728,25.4506365,75.89028334,196.6753512,191.5990038,15.35797496,6.563669083,0.008033313,0.010100928,3.266518368,1909.028056,47105.35701,0.612829429,1.097420925,16113.96508,3420.081103,7489.155125,61.94716061
-2.515984216,-0.792319388,1.834219009,56.89950668,743.3819224,1527.855327,24.84499444,78.84826825,201.6940983,205.7319326,8.665741223,2.516142645,0.005873741,0.008063705,1.71350345,1619.575189,30900.7031,0.369702277,0.489049639,17246.61039,3242.350633,8084.202098,-95.3660236
-1.34152299,-0.257005537,1.83173608,56.60014959,735.3457812,1519.368073,24.91080538,78.4002503,222.9162919,198.0590973,7.233815849,4.009599511,0.007757719,0.010403924,2.496029986,2076.42412,44853.02539,0.591107439,0.753153903,13526.87972,3675.786364,6865.558016,-78.24097473
-1.570618985,-0.404458882,1.841132541,56.90306647,740.7843829,1509.328137,24.79626712,76.79157544,241.2940221,189.7444096,4.314584824,2.774872937,0.006771103,0.008318745,2.200593063,2001.725961,41367.29416,0.337271061,0.780943786,10324.33867,2842.942253,5155.525064,-129.640332
-0.615392964,-0.223181313,1.828545378,56.83683887,728.8461019,1568.635606,24.86112757,82.6336899,216.1251761,208.4862876,5.958414086,4.507466997,0.009033247,0.01088991,2.503470962,2008.670505,39267.93233,0.883725894,0.445135168,13050.60775,4846.914847,7953.101041,-67.37843198
