Fe,Mn,Ni,Co,Cr,V,Al,SFE
0.090367274,0.009117212,0.245352654,0.372027881,0.227387971,0.034358941,0.021388067,-36.71959
0.02529435,0.027496504,0.223392132,0.622837906,0.055418621,0.03864806,0.006912428,-80.7024
0.035326524,0.012395883,0.337024252,0.500962107,0.070215628,0.029542197,0.014533408,-36.31608
0.089275285,0.008778413,0.394700901,0.291627535,0.134718696,0.043375972,0.037523199,12.91238
0.349149656,0.032105798,0.338022017,0.147819321,0.062974216,0.041684858,0.028244134,64.56192
0.133960569,0.006704698,0.534404007,0.065166715,0.213258167,0.039999225,0.006506619,43.17578
0.12660228,0.023180318,0.294870406,0.400138456,0.086767508,0.030728404,0.037712628,-16.54399
0.070360406,0.014195424,0.521154029,0.220756849,0.064059458,0.058469087,0.051004746,61.33382
0.081395261,0.01612097,0.038193423,0.585717286,0.216169532,0.04296742,0.01943611,-143.24676
0.085987709,0.014753648,0.458946467,0.224177596,0.137152717,0.043679157,0.035302707,33.4915
0.465728753,0.024145432,0.335792736,0.033794105,0.093719671,0.020696104,0.026123199,85.94805
0.453728944,0.023022829,0.335225002,0.119937356,0.029297345,0.033471506,0.005317018,97.65
0.110046072,0.026381236,0.539400217,0.237586361,0.044040673,0.033620119,0.008925321,56.088
0.171697812,0.028858627,0.439527386,0.180348734,0.096431243,0.043966049,0.039170148,38.334
0.264453194,0.029782994,0.219803491,0.26345343,0.19179521,0.022250763,0.008460919,-59.72
0.014907832,0.018581264,0.423114335,0.39192532,0.08164856,0.033359162,0.036463527,19.772
0.135233539,0.002403456,0.619119136,0.062078985,0.103127659,0.043435965,0.034601259,81.106
0.50103257,0.00824481,0.172760532,0.156390612,0.119774158,0.031043773,0.010753545,-27.842
0.267035397,0.036267111,0.275389911,0.328507466,0.039383541,0.035667322,0.017749251,18.158
0.313925995,0.017216851,0.258268786,0.168297374,0.179012143,0.037459889,0.025818963,-17.351
0.522928765,0.032718878,0.23120007,0.074822681,0.102874579,0.020403856,0.015051171,-20.176
0.217521316,0.012498893,0.537888462,0.050518969,0.084271073,0.063143828,0.034157458,64.158
0.009633686,0.01442455,0.277378352,0.594288697,0.045795442,0.032380759,0.026098515,-48.825
0.115261498,0.00874684,0.266149753,0.474368336,0.086187353,0.042082839,0.00720338,-56.492
0.009478326,0.024302247,0.348753916,0.557256923,0.027051239,0.00620933,0.026948019,-27.842
0.186571997,0.012539445,0.101974474,0.561565964,0.08225568,0.041433654,0.013658786,-84.334
0.135464693,0.009354794,0.465214206,0.110440585,0.227384915,0.032304267,0.01983654,29.86
0.265213249,0.01131276,0.073228661,0.373866056,0.228571523,0.03291081,0.014896941,-132.352
0.053516234,0.017020502,0.457905479,0.221321725,0.21363205,0.001007175,0.035596836,25.825
0.485482341,0.024273967,0.36173837,0.019156128,0.056585682,0.019418686,0.033344827,111.773
0.219700565,0.032250302,0.224980465,0.345957383,0.125962267,0.039222085,0.011926933,-33.895
0.055121407,0.012511066,0.448102547,0.268928838,0.139931247,0.043788044,0.031616851,25.421
0.078443174,0.01926452,0.383442255,0.409659128,0.069552951,0.030531661,0.00910631,-8.877
0.106824639,0.007697795,0.252549083,0.402218271,0.174139575,0.034433568,0.02213707,-48.421
0.222595384,0.029732021,0.363752298,0.299840532,0.020909965,0.029772812,0.033396988,40.351
0.00701033,0.014565371,0.622040653,0.205300297,0.071510876,0.043966252,0.035606221,89.58
0.252965748,0.026084651,0.368028512,0.132213353,0.1849564,0.004588057,0.031163279,18.158
0.111072795,0.032989237,0.251786064,0.311059228,0.274908035,0.010972022,0.00721262,-58.913
0.04024438,0.014700158,0.520662046,0.246582303,0.138076249,0.003410383,0.036324483,49.228
0.435214672,0.014360136,0.252786062,0.131956701,0.104074257,0.042862627,0.018745544,31.474
0.417439783,0.033830687,0.175975283,0.251668681,0.086865027,0.021974722,0.012245817,-27.842
0.090348444,0.026061017,0.466033155,0.337417141,0.034503829,0.03710615,0.008530263,25.018
0.347520188,0.028493586,0.065361029,0.390307515,0.138821877,0.021260815,0.00823499,-109.755
0.12548006,0.028004244,0.384338993,0.324646369,0.094331497,0.028236877,0.01496196,0.404
0.146654597,0.009823236,0.359087061,0.295601422,0.140301881,0.011772284,0.036759519,-4.842
0.042993849,0.018641303,0.361632208,0.37416382,0.133541213,0.032068896,0.036958711,-4.035
0.37598325,0.023299169,0.270568663,0.224512641,0.058866689,0.028580383,0.018189205,52.86
0.405000035,0.013849748,0.275561215,0.10504813,0.129713161,0.033011831,0.037815881,52.05305
0.085987709,0.014753648,0.458946467,0.224177596,0.137152717,0.043679157,0.035302707,33.49149
0.154842836,0.021300605,0.252558946,0.452098682,0.074245506,0.033872628,0.011080797,-38.33364
0.032288076,0.000803503,0.123745471,0.734533863,0.048872827,0.034549202,0.025207059,-127.50979
0.314734456,0.018766853,0.433983712,0.116783374,0.064519859,0.018727234,0.032484512,68.19352
0.483147178,0.029451546,0.29170175,0.08006387,0.04923755,0.039336321,0.027061786,43.57929
0.114356693,0.0070209,0.5087537,0.266555285,0.010160145,0.039047786,0.054105491,58.91276
0.219118513,0.013879323,0.414123463,0.185135999,0.12532258,0.002114393,0.040305729,25.82477
0.16171226,0.012267619,0.52121771,0.03876068,0.195738193,0.041267219,0.02903632,52.86007
0.58365246,0.018613911,0.120106644,0.1951854,0.023732473,0.041117746,0.017591367,27.0353
0.205060741,0.003505517,0.460426992,0.119136982,0.128050944,0.044688389,0.039130436,41.56174
0.134239582,0.008338211,0.432407391,0.163581582,0.216093522,0.044521563,0.00081815,10.0878
0.336719021,0.023758279,0.361880935,0.156577287,0.047680377,0.036925265,0.036458836,54.0706
0.016506159,0.013268661,0.423718139,0.359915574,0.134743047,0.041836546,0.010011874,5.64917
0.163696479,0.014588301,0.242312637,0.318544399,0.215922969,0.03329039,0.011644826,-47.2109
0.250904523,0.01627364,0.405775362,0.219523843,0.026748467,0.044829651,0.035944515,47.61442
0.003584758,0.009795423,0.686472043,0.179994813,0.048597561,0.044045855,0.027509547,117.42199
0.508249602,0.015493889,0.2529149,0.136166335,0.047250004,0.015749806,0.024175464,116.21145
0.372216473,0.024882761,0.194991173,0.315325847,0.029530041,0.038641432,0.024412274,56.89519
0.114697092,0.016392577,0.602034218,0.123707544,0.093540944,0.030204556,0.01942307,73.84269
0.186898725,0.018463598,0.614649572,0.102924395,0.017381312,0.037032254,0.022650145,77.07079
0.169080004,0.021740933,0.521088417,0.162079932,0.060794727,0.014470984,0.050745004,62.54436
0.103261933,0.028010424,0.29018623,0.538863924,0.013553766,0.019801307,0.006322417,-37.93013
0.127352627,0.003622367,0.427614244,0.192629532,0.157491508,0.043775143,0.047514579,28.64935
0.047842113,0.005785024,0.516000173,0.357074009,0.004769242,0.03916339,0.029366049,39.54418
0.019993498,0.007172335,0.681354122,0.095227241,0.143173125,0.024326082,0.028753597,98.86044
0.2073876,0.013474476,0.38740833,0.221877315,0.080635962,0.049384687,0.03983163,29.45638
0.216977482,0.008116927,0.392817993,0.141780149,0.211161442,0.027724173,0.001421834,-3.228
0.464134624,0.022390011,0.302540232,0.075078263,0.063227012,0.045172271,0.027457586,98.053
0.622481204,0.029665874,0.157477233,0.089843039,0.050334879,0.022474343,0.027723428,21.386
0.313752634,0.022886842,0.122494981,0.470901655,0.018677457,0.033856329,0.017430103,35.913
0.137888733,0.018571179,0.346467335,0.326161037,0.080261769,0.051161037,0.039488911,4.035
0.156611653,0.003388286,0.463421684,0.096659813,0.190178834,0.053016327,0.036723403,39.544
0.235088167,0.010049164,0.411002727,0.131650625,0.117033612,0.057003971,0.038171734,40.755
0.09589669,0.012213292,0.033978624,0.738679847,0.05597797,0.032085017,0.031168559,-123.878
0.251710365,0.01711277,0.515364772,0.117886968,0.023981492,0.046700576,0.027243057,69.001
0.031625632,0.014024473,0.653653834,0.041832478,0.190745064,0.040895478,0.027223041,78.685
0.316358977,0.014671466,0.313532342,0.205875294,0.104256902,0.034172737,0.011132281,20.983
0.413404489,0.014847376,0.417941504,0.006647159,0.126333784,0.002316903,0.018508785,57.702
0.113868986,0.025683568,0.534690501,0.215937704,0.030647815,0.030408303,0.048763122,53.264
0.518978242,0.013888016,0.167544764,0.209128332,0.03444553,0.034503501,0.021511615,123.878
0.164281364,0.028346746,0.245702615,0.473819247,0.02387528,0.039007574,0.024967174,-22.193
0.176886465,0.012899495,0.55731622,0.040158691,0.15024479,0.033572953,0.028921386,59.316
0.179097619,0.005006471,0.453568158,0.199025036,0.07211894,0.043828946,0.04735483,46.807
0.362139789,0.019534779,0.329897309,0.20062107,0.026585384,0.040919367,0.020302302,54.071
0.073386253,0.014714563,0.34391611,0.338789052,0.144749946,0.047072223,0.037371853,-5.649
0.062383209,0.00670024,0.541646251,0.275923109,0.020299031,0.035872542,0.057175617,66.983
0.115675347,0.013282977,0.417608318,0.220856604,0.168630636,0.030901209,0.033044908,22.193
0.281250753,0.013277832,0.412487599,0.192803502,0.003368137,0.056268939,0.040543237,61.334
0.133344946,0.013925466,0.463222854,0.331087054,0.015587812,0.001584268,0.041247598,36.72
0.129461791,0.000711911,0.264814794,0.437140176,0.101531714,0.042804181,0.023535433,-43.176
0.096009022,0.024169284,0.231233602,0.556489636,0.031155547,0.036539206,0.024403703,-45.597
0.078517694,0.01680852,0.626303055,0.136303504,0.067405528,0.047166081,0.027495619,82.316
0.061442956,0.014078819,0.486227973,0.175203907,0.196053321,0.038980503,0.028012521,37.93
0.102939261,0.014970514,0.671511301,0.079391744,0.049212791,0.04602835,0.03594604,97.65
0.390334734,0.011174702,0.142389277,0.224861258,0.185901816,0.043768272,0.001569941,-103.299
0.76443208,0.017599174,0.149537403,0.00097085,0.022467548,0.027141434,0.01785151,-315.143
0.226688074,0.008405518,0.300630632,0.1774252,0.219636242,0.044165832,0.023048502,-8.877
0.350009081,0.028376837,0.405967012,0.071519785,0.064203482,0.048559754,0.031364049,63.755
0.098407274,0.021597584,0.580422513,0.181198776,0.059725268,0.014825111,0.043823474,72.229
0.415061532,0.013952784,0.283457987,0.138587891,0.063204139,0.055359496,0.030376171,70.211
0.205060741,0.003505517,0.460426992,0.119136982,0.128050944,0.044688389,0.039130436,42.36876
0.164281364,0.028346746,0.245702615,0.473819247,0.02387528,0.039007574,0.024967174,-14.52643
0.028825045,0.006597969,0.683813267,0.076146475,0.165367025,0.029959622,0.009290596,87.15859
0.254403093,0.013892386,0.366303723,0.136133243,0.156490018,0.044849546,0.027927992,20.57911
0.16171226,0.012267619,0.52121771,0.03876068,0.195738193,0.041267219,0.02903632,52.05305
0.178707553,0.0150872,0.385739779,0.327111166,0.046798227,0.023929545,0.022626532,13.3159
0.169080004,0.021740933,0.521088417,0.162079932,0.060794727,0.014470984,0.050745004,61.73733
0.177589199,0.026975799,0.425357384,0.25769317,0.024324496,0.036445425,0.051614528,42.36876
0.200270633,0.012735615,0.169446713,0.478007735,0.097772237,0.025870359,0.015896709,-58.10573
0.336719021,0.023758279,0.361880935,0.156577287,0.047680377,0.036925265,0.036458836,58.10573
0.21530391,0.009134319,0.271940706,0.281968229,0.158988246,0.03874889,0.0239157,-19.36858
0.255096831,0.010335336,0.579443182,0.037733661,0.042557684,0.055028355,0.019804952,75.05323
