Fe,Mn,Ni,Co,Cr,V,Al,D1,D2,D8,D10,D15,D16,D19,D21,SFE
0.168495013,0.010417674,0.059385564,0.527824384,0.192196767,0.02815616,0.013524436,-2.034391311,-1.015380147,732.7032828,24.64978205,182.9703479,220.6591915,2.730625736,0.009681258,-135.87005
0.007229544,0.027796477,0.164107525,0.694154097,0.054838311,0.030791306,0.02108274,-1.045278218,-0.016731512,742.270649,24.96537538,262.0754633,182.3786859,3.01852384,0.008404424,-108.84736
0.103261933,0.028010424,0.29018623,0.538863924,0.013553766,0.019801307,0.006322417,-1.299019006,0.274323601,747.8666186,25.22809235,248.0815991,182.8488219,3.536705595,0.005688825,-29.65813
0.02529435,0.027496504,0.223392132,0.622837906,0.055418621,0.03864806,0.006912428,-0.952055987,0.038295939,742.6092347,25.05583225,256.3470233,185.3305139,3.265062469,0.008111919,-85.14733
0.585251719,0.031141104,0.133960775,0.089334817,0.12788355,0.018938927,0.013489108,-4.362872278,-1.350206336,738.877109,24.99841128,80.22478853,246.2775136,3.955834075,0.008143026,-170.15596
0.009633686,0.01442455,0.277378352,0.594288697,0.045795442,0.032380759,0.026098515,-0.576777493,0.409245487,740.0934955,25.10400459,259.3588274,178.4722658,3.874242995,0.00749738,-41.44194
0.217792138,0.01695154,0.26469491,0.253371554,0.178748961,0.046994622,0.021446274,-1.432809777,-0.405177542,725.6754127,24.95857659,163.2849693,221.0945862,5.874796037,0.011502741,-16.78988
0.091217163,0.014511506,0.337149196,0.441602307,0.058567105,0.025706482,0.031246241,-0.756213334,0.479974698,737.2847728,25.18339861,232.4136565,185.9320868,4.86833593,0.008102849,-4.46385
0.034255727,0.022671796,0.152504023,0.668995221,0.099740419,0.015263593,0.006569221,-1.222957703,-0.248019382,742.3464699,24.89051384,249.6805118,192.2599496,2.724862687,0.007918418,-127.44674
0.058793815,0.01547936,0.444382718,0.230357654,0.204670555,0.024277627,0.02203827,0.247216997,0.490521702,720.8109048,25.10075369,207.0589132,206.6446206,6.445649279,0.012583151,11.84055
0.363556977,0.023727073,0.140508239,0.217340829,0.212932097,0.039437096,0.002497689,-2.804058049,-1.256681424,729.2016011,24.81036536,120.0927313,243.0643587,3.770039525,0.010303955,-120.36637
0.205432247,0.011620113,0.115839067,0.565680681,0.049831384,0.032589395,0.019007113,-2.391308908,-0.532179483,745.2297171,24.94675823,204.0692147,199.4167151,3.206042494,0.006501417,-52.457
0.059221112,0.01481307,0.54818408,0.086432273,0.246173361,0.032629773,0.01254633,0.768557277,0.652573358,714.7819117,25.17910038,194.8976003,213.7530608,7.256607676,0.013862138,43.579
0.046321472,0.014740861,0.465495453,0.318867166,0.088405559,0.043710569,0.02245892,0.120758622,0.807800066,730.6182586,25.29943919,233.4254177,187.5312574,5.469424618,0.009908518,27.439
0.352766038,0.01241352,0.302436589,0.167426883,0.127321243,0.029837513,0.007798214,-2.30991759,-0.425123888,735.1784788,25.12494062,142.4635374,223.7042722,5.792519754,0.008577843,6.86
