Fe,Mn,Ni,Co,Cr,V,Al,D1,D2,D10,D16,D19,D21,class
0.168495013,0.010417674,0.059385564,0.527824384,0.192196767,0.02815616,0.013524436,-2.034391311,-1.015380147,24.64978205,220.6591915,2.730625736,0.009681258,0
0.007229544,0.027796477,0.164107525,0.694154097,0.054838311,0.030791306,0.02108274,-1.045278218,-0.016731512,24.96537538,182.3786859,3.01852384,0.008404424,0
0.103261933,0.028010424,0.29018623,0.538863924,0.013553766,0.019801307,0.006322417,-1.299019006,0.274323601,25.22809235,182.8488219,3.536705595,0.005688825,0
0.077731069,0.024005647,0.60820121,0.147971378,0.08069347,0.043035261,0.018361966,0.474126791,1.215974332,25.5222355,187.8634824,5.77658455,0.010559077,2
0.02529435,0.027496504,0.223392132,0.622837906,0.055418621,0.03864806,0.006912428,-0.952055987,0.038295939,25.05583225,185.3305139,3.265062469,0.008111919,0
0.585251719,0.031141104,0.133960775,0.089334817,0.12788355,0.018938927,0.013489108,-4.362872278,-1.350206336,24.99841128,246.2775136,3.955834075,0.008143026,0
0.009633686,0.01442455,0.277378352,0.594288697,0.045795442,0.032380759,0.026098515,-0.576777493,0.409245487,25.10400459,178.4722658,3.874242995,0.00749738,0
0.091217163,0.014511506,0.337149196,0.441602307,0.058567105,0.025706482,0.031246241,-0.756213334,0.479974698,25.18339861,185.9320868,4.86833593,0.008102849,1
0.034255727,0.022671796,0.152504023,0.668995221,0.099740419,0.015263593,0.006569221,-1.222957703,-0.248019382,24.89051384,192.2599496,2.724862687,0.007918418,0
0.336719021,0.023758279,0.361880935,0.156577287,0.047680377,0.036925265,0.036458836,-2.058367216,0.135165702,25.317395,206.5342055,6.680918556,0.009145948,2
0.058793815,0.01547936,0.444382718,0.230357654,0.204670555,0.024277627,0.02203827,0.247216997,0.490521702,25.10075369,206.6446206,6.445649279,0.012583151,1
0.088969711,0.025354784,0.391233679,0.381956811,0.061547933,0.030592228,0.020344855,-0.563283838,0.570782365,25.27185728,187.5221749,4.96986533,0.008939112,1
0.205432247,0.011620113,0.115839067,0.565680681,0.049831384,0.032589395,0.019007113,-2.391308908,-0.532179483,24.94675823,199.4167151,3.206042494,0.006501417,0
0.059221112,0.01481307,0.54818408,0.086432273,0.246173361,0.032629773,0.01254633,0.768557277,0.652573358,25.17910038,213.7530608,7.256607676,0.013862138,2
0.046321472,0.014740861,0.465495453,0.318867166,0.088405559,0.043710569,0.02245892,0.120758622,0.807800066,25.29943919,187.5312574,5.469424618,0.009908518,2
0.352766038,0.01241352,0.302436589,0.167426883,0.127321243,0.029837513,0.007798214,-2.30991759,-0.425123888,25.12494062,223.7042722,5.792519754,0.008577843,1
0.479664397,0.027415792,0.222482843,0.233761727,0.004206728,0.024339757,0.008128755,-3.756119494,-0.612038915,25.26549733,215.9248216,4.537450674,0.005437808,2
0.252436918,0.015026348,0.458265323,0.01295407,0.204010504,0.031255519,0.026051317,-0.777352016,0.190268454,25.17549452,223.7510752,7.89761166,0.012366412,2
0.074726911,0.013722099,0.424770256,0.386787063,0.042407056,0.03359267,0.023993945,-0.361352678,0.773209587,25.32055487,181.9191629,4.886568651,0.00757547,1
0.349149656,0.032105798,0.338022017,0.147819321,0.062974216,0.041684858,0.028244134,-2.220318042,-0.071475371,25.2850929,212.1615053,6.499746086,0.009904314,2
